id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
71,2019-01-31 06:18:32.100,32.732071421670184,-117.15220166490366,,1,2019-01-31 06:18:49.100,0 days 00:06:10,0 days 00:05:39,0 days 00:01:34,0 days 00:06:35,0 days 00:05:15,0 days,32.736006,-117.127023
72,2019-01-31 06:22:04.100,32.75427519823522,-117.02657347822742,,0,2019-01-31 06:23:12.100,0 days 00:03:47,0 days 00:08:34,0 days 00:02:38,0 days 00:06:52,0 days 00:02:33,0 days,32.724462,-117.048276
73,2019-01-31 06:28:03.100,32.721957089048324,-117.1238308828654,,4,2019-01-31 06:28:03.100,0 days 00:03:22,0 days 00:07:33,0 days 00:00:59,0 days 00:09:59,0 days 00:02:11,0 days,32.736006,-117.127023
74,2019-01-31 06:31:21.100,32.78567109620361,-117.14510248140026,,2,2019-01-31 06:38:00.100,0 days 00:06:21,0 days 00:08:54,0 days 00:02:47,0 days 00:05:50,0 days 00:04:16,0 days,32.776485,-117.09868
75,2019-01-31 06:35:53.100,32.75067610113168,-117.0811880203634,,3,2019-01-31 06:38:27.100,0 days 00:03:10,0 days 00:05:27,0 days 00:02:00,0 days 00:09:22,0 days 00:01:27,0 days,32.776485,-117.09868
76,2019-01-31 06:40:29.100,32.7323774672532,-117.11355242965108,,1,2019-01-31 06:44:02.100,0 days 00:04:48,0 days 00:08:46,0 days 00:00:32,0 days 00:09:06,0 days 00:05:15,0 days,32.736006,-117.127023
77,2019-01-31 06:46:33.100,32.78895008534875,-117.11410549829904,,0,2019-01-31 06:47:36.100,0 days 00:03:47,0 days 00:05:58,0 days 00:01:11,0 days 00:09:51,0 days 00:02:47,0 days,32.776485,-117.09868
78,2019-01-31 06:53:06.100,32.81996838638108,-117.15750710343096,,4,2019-01-31 06:53:06.100,0 days 00:03:53,0 days 00:08:38,0 days 00:04:37,0 days 00:08:45,0 days 00:03:31,0 days,32.776485,-117.09868
79,2019-01-31 06:57:09.100,32.76786556686044,-117.1280347022778,,3,2019-01-31 06:59:53.100,0 days 00:01:10,0 days 00:08:49,0 days 00:01:57,0 days 00:06:01,0 days 00:03:08,0 days,32.736006,-117.127023
80,2019-01-31 07:01:43.100,32.79480083079337,-117.04816117408222,,2,2019-01-31 07:06:08.100,0 days 00:05:36,0 days 00:05:43,0 days 00:03:18,0 days 00:09:14,0 days 00:04:16,0 days,32.776485,-117.09868
81,2019-01-31 07:08:34.100,32.75047941600082,-117.04594618585888,,0,2019-01-31 07:11:10.100,0 days 00:02:36,0 days 00:05:23,0 days 00:02:01,0 days 00:09:26,0 days 00:02:33,0 days,32.724462,-117.048276
82,2019-01-31 07:15:28.100,32.76457459627738,-117.09934343915124,,1,2019-01-31 07:15:28.100,0 days 00:02:31,0 days 00:05:11,0 days 00:00:51,0 days 00:08:30,0 days 00:01:52,0 days,32.776485,-117.09868
83,2019-01-31 07:21:01.100,32.74114029745308,-117.02932655196165,,3,2019-01-31 07:21:01.100,0 days 00:05:59,0 days 00:05:33,0 days 00:01:49,0 days 00:09:37,0 days 00:05:45,0 days,32.724462,-117.048276
84,2019-01-31 07:27:27.100,32.766456637921486,-117.07504336293104,,4,2019-01-31 07:27:27.100,0 days 00:04:45,0 days 00:07:26,0 days 00:01:33,0 days 00:06:31,0 days 00:03:31,0 days,32.776485,-117.09868
85,2019-01-31 07:33:56.100,32.800217021315795,-117.03234727629793,,0,2019-01-31 07:33:56.100,0 days 00:05:14,0 days 00:05:26,0 days 00:04:06,0 days 00:06:12,0 days 00:02:47,0 days,32.776485,-117.09868
86,2019-01-31 07:40:30.100,32.71464065049661,-117.15317890784544,,2,2019-01-31 07:40:30.100,0 days 00:04:59,0 days 00:09:05,0 days 00:02:25,0 days 00:09:43,0 days 00:03:39,0 days,32.736006,-117.127023
87,2019-01-31 07:44:57.100,32.772534744881376,-117.11675774282892,,1,2019-01-31 07:44:57.100,0 days 00:02:33,0 days 00:06:31,0 days 00:01:18,0 days 00:09:02,0 days 00:01:52,0 days,32.776485,-117.09868
88,2019-01-31 07:48:23.100,32.742856412918925,-117.0904848609842,,3,2019-01-31 07:49:44.100,0 days 00:03:03,0 days 00:05:24,0 days 00:02:06,0 days 00:07:28,0 days 00:03:08,0 days,32.736006,-117.127023
89,2019-01-31 07:53:19.100,32.768839150252965,-117.14568950717916,,4,2019-01-31 07:53:19.100,0 days 00:00:43,0 days 00:08:29,0 days 00:02:32,0 days 00:08:00,0 days 00:02:11,0 days,32.736006,-117.127023
90,2019-01-31 07:58:29.100,32.72101964023645,-117.07799630334058,,0,2019-01-31 07:58:29.100,0 days 00:01:07,0 days 00:08:59,0 days 00:01:39,0 days 00:09:45,0 days 00:02:33,0 days,32.724462,-117.048276
91,2019-01-31 08:01:41.100,32.79279151389433,-117.16656263173746,,1,2019-01-31 08:06:13.100,0 days 00:05:13,0 days 00:05:49,0 days 00:03:56,0 days 00:05:14,0 days 00:01:52,0 days,32.776485,-117.09868
92,2019-01-31 08:07:16.100,32.731806646929066,-117.052184249635,,2,2019-01-31 08:10:21.100,0 days 00:01:40,0 days 00:06:50,0 days 00:00:48,0 days 00:07:01,0 days 00:01:24,0 days,32.724462,-117.048276
93,2019-01-31 08:13:40.100,32.745939934806096,-117.11805393054703,,3,2019-01-31 08:13:40.100,0 days 00:02:08,0 days 00:07:11,0 days 00:00:45,0 days 00:06:38,0 days 00:03:08,0 days,32.736006,-117.127023
94,2019-01-31 08:19:20.100,32.71174028985134,-117.03128183575215,,4,2019-01-31 08:19:20.100,0 days 00:08:06,0 days 00:06:41,0 days 00:01:24,0 days 00:06:26,0 days 00:06:40,0 days,32.724462,-117.048276
95,2019-01-31 08:24:12.100,32.78320073668469,-117.16617164640472,,0,2019-01-31 08:24:12.100,0 days 00:05:33,0 days 00:05:25,0 days 00:03:38,0 days 00:08:46,0 days 00:02:20,0 days,32.736006,-117.127023
96,2019-01-31 08:30:20.100,32.805320508672764,-117.04073779133046,,1,2019-01-31 08:30:20.100,0 days 00:02:26,0 days 00:06:06,0 days 00:03:46,0 days 00:08:40,0 days 00:01:52,0 days,32.776485,-117.09868
97,2019-01-31 08:35:45.100,32.71393131507409,-117.165921308403,,3,2019-01-31 08:35:45.100,0 days 00:05:16,0 days 00:07:04,0 days 00:02:54,0 days 00:07:13,0 days 00:03:08,0 days,32.736006,-117.127023
98,2019-01-31 08:40:06.100,32.788339110945685,-117.1014269671761,,2,2019-01-31 08:40:06.100,0 days 00:05:05,0 days 00:07:02,0 days 00:01:00,0 days 00:06:13,0 days 00:04:16,0 days,32.776485,-117.09868
99,2019-01-31 08:45:15.100,32.730322612108395,-117.0769969069492,,4,2019-01-31 08:48:37.100,0 days 00:05:03,0 days 00:06:12,0 days 00:01:42,0 days 00:08:43,0 days 00:06:40,0 days,32.724462,-117.048276
100,2019-01-31 08:48:27.100,32.77714137240229,-117.02392057758745,,0,2019-01-31 08:49:54.100,0 days 00:04:33,0 days 00:09:10,0 days 00:03:52,0 days 00:08:17,0 days 00:02:33,0 days,32.724462,-117.048276
101,2019-01-31 08:53:08.100,32.7327260270378,-117.0815126838462,,1,2019-01-31 08:53:10.100,0 days 00:04:11,0 days 00:05:54,0 days 00:02:01,0 days 00:05:04,0 days 00:05:20,0 days,32.724462,-117.048276
102,2019-01-31 08:59:42.100,32.77590593011853,-117.07797261859456,,3,2019-01-31 09:01:20.100,0 days 00:02:30,0 days 00:06:40,0 days 00:01:08,0 days 00:05:47,0 days 00:01:27,0 days,32.776485,-117.09868
103,2019-01-31 09:04:12.100,32.8147080980082,-117.03672987316128,,2,2019-01-31 09:04:12.100,0 days 00:07:04,0 days 00:07:14,0 days 00:04:28,0 days 00:05:18,0 days 00:04:16,0 days,32.776485,-117.09868
104,2019-01-31 09:10:15.100,32.78385956566389,-117.15069373473264,,1,2019-01-31 09:15:40.100,0 days 00:04:17,0 days 00:08:47,0 days 00:02:53,0 days 00:08:21,0 days 00:01:52,0 days,32.776485,-117.09868
105,2019-01-31 09:15:16.100,32.815486551872056,-117.10474898901786,,4,2019-01-31 09:16:57.100,0 days 00:04:52,0 days 00:07:32,0 days 00:02:41,0 days 00:06:50,0 days 00:03:31,0 days,32.776485,-117.09868
106,2019-01-31 09:19:52.100,32.718431217066424,-117.0372598145816,,0,2019-01-31 09:19:52.100,0 days 00:03:21,0 days 00:06:42,0 days 00:00:50,0 days 00:08:42,0 days 00:02:33,0 days,32.724462,-117.048276
107,2019-01-31 09:26:34.100,32.78016373591885,-117.1462373454795,,3,2019-01-31 09:26:34.100,0 days 00:01:51,0 days 00:07:20,0 days 00:02:37,0 days 00:07:11,0 days 00:01:27,0 days,32.776485,-117.09868
108,2019-01-31 09:29:38.100,32.778879710556176,-117.11594728461752,,2,2019-01-31 09:32:32.100,0 days 00:04:58,0 days 00:06:44,0 days 00:00:55,0 days 00:06:45,0 days 00:04:16,0 days,32.776485,-117.09868
109,2019-01-31 09:34:53.100,32.75774427684081,-117.1491776115688,,1,2019-01-31 09:41:50.100,0 days 00:04:44,0 days 00:07:31,0 days 00:01:50,0 days 00:06:17,0 days 00:05:15,0 days,32.736006,-117.127023
110,2019-01-31 09:40:50.100,32.75314309035314,-117.11584723603193,,0,2019-01-31 09:42:00.100,0 days 00:02:05,0 days 00:09:42,0 days 00:01:15,0 days 00:06:30,0 days 00:02:20,0 days,32.736006,-117.127023
111,2019-01-31 09:46:21.100,32.72956515785528,-117.02826166533931,,4,2019-01-31 09:46:21.100,0 days 00:07:49,0 days 00:07:38,0 days 00:01:25,0 days 00:07:40,0 days 00:06:40,0 days,32.724462,-117.048276
112,2019-01-31 09:51:21.100,32.76941469770011,-117.1421851022152,,3,2019-01-31 09:51:21.100,0 days 00:01:46,0 days 00:09:27,0 days 00:02:32,0 days 00:06:37,0 days 00:03:08,0 days,32.736006,-117.127023
